Date,Region,New_Tests,Total_Tests,Positivity,Turn_Around hours
2020-01-23,BC,2,2,0,24
2020-01-23,Fraser,0,0,0,0
2020-01-23,Interior,0,0,0,0
2020-01-23,Northern,0,0,0,0
2020-01-23,Unknown,0,0,0,0
2020-01-23,Vancouver Coastal,2,2,0,24
2020-01-23,Vancouver Island,0,0,0,0
2020-01-25,BC,4,6,0,60
2020-01-25,Fraser,3,3,0,64
2020-01-25,Interior,0,0,0,0
2020-01-25,Northern,0,0,0,0
2020-01-25,Unknown,0,0,0,0
2020-01-25,Vancouver Coastal,0,0,0,0
2020-01-25,Vancouver Island,1,1,0,48
2020-01-26,BC,20,26,0,80
2020-01-26,Fraser,13,16,0,87
2020-01-26,Interior,0,0,0,0
2020-01-26,Northern,0,0,0,0
2020-01-26,Unknown,0,0,0,0
2020-01-26,Vancouver Coastal,7,9,0,69
2020-01-26,Vancouver Island,0,0,0,0
2020-01-27,BC,10,36,0,55
2020-01-27,Fraser,4,20,0,36
2020-01-27,Interior,0,0,0,0
2020-01-27,Northern,0,0,0,0
2020-01-27,Unknown,0,0,0,0
2020-01-27,Vancouver Coastal,6,15,0,68
2020-01-27,Vancouver Island,0,0,0,0
2020-01-28,BC,3,39,0,80
2020-01-28,Fraser,3,23,0,80
2020-01-28,Interior,0,0,0,0
2020-01-28,Northern,0,0,0,0
2020-01-28,Unknown,0,0,0,0
2020-01-28,Vancouver Coastal,0,0,0,0
2020-01-28,Vancouver Island,0,0,0,0
2020-01-29,BC,26,65,3.85,49
2020-01-29,Fraser,15,38,0,56
2020-01-29,Interior,0,0,0,0
2020-01-29,Northern,1,1,0,96
2020-01-29,Unknown,0,0,0,0
2020-01-29,Vancouver Coastal,8,23,12.5,36
2020-01-29,Vancouver Island,2,3,0,24
2020-01-30,BC,33,98,0,47
2020-01-30,Fraser,14,52,0,53
2020-01-30,Interior,0,0,0,0
2020-01-30,Northern,0,0,0,0
2020-01-30,Unknown,0,0,0,0
2020-01-30,Vancouver Coastal,18,41,0,43
2020-01-30,Vancouver Island,1,4,0,48
2020-01-31,BC,23,121,0,34
2020-01-31,Fraser,18,70,0,37
2020-01-31,Interior,1,1,0,24
2020-01-31,Northern,0,0,0,0
2020-01-31,Unknown,0,0,0,0
2020-01-31,Vancouver Coastal,4,45,0,24
2020-01-31,Vancouver Island,0,0,0,0
2020-02-01,BC,24,145,0,29
2020-02-01,Fraser,13,83,0,26
2020-02-01,Interior,2,3,0,24
2020-02-01,Northern,0,0,0,0
2020-02-01,Unknown,0,0,0,0
2020-02-01,Vancouver Coastal,7,52,0,31
2020-02-01,Vancouver Island,2,6,0,48
2020-02-02,BC,16,161,6.25,34
2020-02-02,Fraser,5,88,0,48
2020-02-02,Interior,0,0,0,0
2020-02-02,Northern,0,0,0,0
2020-02-02,Unknown,0,0,0,0
2020-02-02,Vancouver Coastal,9,61,11.11,19
2020-02-02,Vancouver Island,2,8,0,72
2020-02-03,BC,56,217,0,39
2020-02-03,Fraser,40,128,0,38
2020-02-03,Interior,0,0,0,0
2020-02-03,Northern,0,0,0,0
2020-02-03,Unknown,0,0,0,0
2020-02-03,Vancouver Coastal,15,76,0,38
2020-02-03,Vancouver Island,1,9,0,48
2020-02-04,BC,48,265,8.33,37
2020-02-04,Fraser,17,145,0,34
2020-02-04,Interior,9,12,0,64
2020-02-04,Northern,0,0,0,0
2020-02-04,Unknown,1,1,0,96
2020-02-04,Vancouver Coastal,13,89,0,33
2020-02-04,Vancouver Island,8,17,50,12
2020-02-05,BC,35,300,0,34
2020-02-05,Fraser,19,164,0,27
2020-02-05,Interior,1,13,0,48
2020-02-05,Northern,1,2,0,144
2020-02-05,Unknown,0,0,0,0
2020-02-05,Vancouver Coastal,9,98,0,29
2020-02-05,Vancouver Island,5,22,0,48
2020-02-06,BC,63,363,0,28
2020-02-06,Fraser,32,196,0,22
2020-02-06,Interior,3,16,0,104
2020-02-06,Northern,0,0,0,0
2020-02-06,Unknown,0,0,0,0
2020-02-06,Vancouver Coastal,22,120,0,19
2020-02-06,Vancouver Island,6,28,0,60
2020-02-07,BC,41,404,0,28
2020-02-07,Fraser,28,224,0,27
2020-02-07,Interior,0,0,0,0
2020-02-07,Northern,0,0,0,0
2020-02-07,Unknown,0,0,0,0
2020-02-07,Vancouver Coastal,7,127,0,34
2020-02-07,Vancouver Island,6,34,0,24
2020-02-08,BC,30,434,0,33
2020-02-08,Fraser,20,244,0,28
2020-02-08,Interior,1,17,0,48
2020-02-08,Northern,2,4,0,72
2020-02-08,Unknown,0,0,0,0
2020-02-08,Vancouver Coastal,6,133,0,32
2020-02-08,Vancouver Island,1,35,0,48
2020-02-09,BC,10,444,0,12
2020-02-09,Fraser,0,0,0,0
2020-02-09,Interior,0,0,0,0
2020-02-09,Northern,0,0,0,0
2020-02-09,Unknown,2,3,0,24
2020-02-09,Vancouver Coastal,8,141,0,9
2020-02-09,Vancouver Island,0,0,0,0
2020-02-10,BC,37,481,0,53
2020-02-10,Fraser,11,255,0,76
2020-02-10,Interior,0,0,0,0
2020-02-10,Northern,0,0,0,0
2020-02-10,Unknown,0,0,0,0
2020-02-10,Vancouver Coastal,24,165,0,40
2020-02-10,Vancouver Island,2,37,0,72
2020-02-11,BC,69,550,0,53
2020-02-11,Fraser,39,294,0,47
2020-02-11,Interior,4,21,0,72
2020-02-11,Northern,1,5,0,72
2020-02-11,Unknown,0,0,0,0
2020-02-11,Vancouver Coastal,18,183,0,71
2020-02-11,Vancouver Island,7,44,0,24
2020-02-12,BC,55,605,0,29
2020-02-12,Fraser,28,322,0,21
2020-02-12,Interior,6,27,0,48
2020-02-12,Northern,0,0,0,0
2020-02-12,Unknown,0,0,0,0
2020-02-12,Vancouver Coastal,15,198,0,35
2020-02-12,Vancouver Island,6,50,0,32
2020-02-13,BC,91,696,2.2,28
2020-02-13,Fraser,55,377,0,22
2020-02-13,Interior,2,29,100,48
2020-02-13,Northern,1,6,0,72
2020-02-13,Unknown,0,0,0,0
2020-02-13,Vancouver Coastal,27,225,0,34
2020-02-13,Vancouver Island,6,56,0,44
2020-02-14,BC,44,740,0,34
2020-02-14,Fraser,13,390,0,24
2020-02-14,Interior,2,31,0,48
2020-02-14,Northern,0,0,0,0
2020-02-14,Unknown,0,0,0,0
2020-02-14,Vancouver Coastal,25,250,0,34
2020-02-14,Vancouver Island,4,60,0,60
2020-02-15,BC,12,752,0,30
2020-02-15,Fraser,1,391,0,24
2020-02-15,Interior,4,35,0,48
2020-02-15,Northern,0,0,0,0
2020-02-15,Unknown,0,0,0,0
2020-02-15,Vancouver Coastal,7,257,0,21
2020-02-15,Vancouver Island,0,0,0,0
2020-02-16,BC,29,781,0,56
2020-02-16,Fraser,8,399,0,66
2020-02-16,Interior,0,0,0,0
2020-02-16,Northern,2,8,0,96
2020-02-16,Unknown,0,0,0,0
2020-02-16,Vancouver Coastal,11,268,0,52
2020-02-16,Vancouver Island,8,68,0,42
2020-02-17,BC,4,785,0,12
2020-02-17,Fraser,1,400,0,0
2020-02-17,Interior,0,0,0,0
2020-02-17,Northern,0,0,0,0
2020-02-17,Unknown,0,0,0,0
2020-02-17,Vancouver Coastal,3,271,0,16
2020-02-17,Vancouver Island,0,0,0,0
2020-02-18,BC,101,886,1.98,46
2020-02-18,Fraser,57,457,3.51,55
2020-02-18,Interior,0,0,0,0
2020-02-18,Northern,4,12,0,48
2020-02-18,Unknown,0,0,0,0
2020-02-18,Vancouver Coastal,36,307,0,31
2020-02-18,Vancouver Island,4,72,0,54
2020-02-19,BC,57,943,0,54
2020-02-19,Fraser,28,485,0,47
2020-02-19,Interior,10,45,0,106
2020-02-19,Northern,0,0,0,0
2020-02-19,Unknown,0,0,0,0
2020-02-19,Vancouver Coastal,17,324,0,37
2020-02-19,Vancouver Island,2,74,0,48
2020-02-20,BC,65,1008,0,38
2020-02-20,Fraser,37,522,0,36
2020-02-20,Interior,6,51,0,64
2020-02-20,Northern,0,0,0,0
2020-02-20,Unknown,0,0,0,0
2020-02-20,Vancouver Coastal,20,344,0,37
2020-02-20,Vancouver Island,2,76,0,24
2020-02-21,BC,49,1057,4.08,28
2020-02-21,Fraser,33,555,6.06,25
2020-02-21,Interior,0,0,0,0
